authors,title,series,genres,availability,publication_date,editor,pages,isbn,summary,cover_path
"Bearup, Jill",Just Stab Me Now,,"Fantasy, Romance",Prêté à : Margot,05/02/2024,Sword Lady Books,347,9781739431907,"A desperate mother. A dubious escort. And a deranged author who won’t leave them alone. Caroline Lindley is determined that her new romance novel will be her best one yet. Fantasy! Formal gowns! Fencing! And, of course, a twentysomething heroine to star in an enemies-to-lovers plot with all of Caroline’s favourite tropes. But Lady Rosamund Hawkhurst is a thirty-six-year-old widow with two children, her sole focus is facilitating a peace treaty between her adopted nation and her homeland, and she flatly refuses to take the correct approach to there being Only One Bed. What’s an author to do? Based on her popular Fantasy Heroine YouTube shorts series, Jill Bearup’s debut novel brings us the best of worlds both meta and medieval-inspired. Leigh Bardugo and Terry Pratchett aficionados will enjoy the political intrigue paired with convivial, tongue-in-cheek satire, and romance fans will savour plenty of slow-burn, fade-to-black romance. If you loved Stranger Than Fiction and The Princess Bride, you will soon find yourself cheering on enemies-to-BFFs Rosamund and Caroline as together they learn what it means to be the hero of your own story.",/MyLibrary/Images/Books/306.png
"Beaud, Stéphane; Weber, Florence",Guide de l'enquête de terrain,,,,29/04/2010,La Découverte,336,9782707160089,,/MyLibrary/Images/Books/256.png
"Beckett, Samuel","La Dernière Bande, suivi de Cendres",,Théâtre,,03/04/2014,Minuit,72,9782707301772,,/MyLibrary/Images/Books/87.png
"Beckett, Samuel",Fin de partie,,Théâtre,,03/04/2014,Minuit,112,9782707300706,,/MyLibrary/Images/Books/86.png
"Bédier, Joseph",Le roman de Tristan et Iseut,,Classiques,,,H. Piazza,261,OCLC:1155504881,,/MyLibrary/Images/Books/107.png
"Benamran, Bruce",Prenez le temps d'e-penser - Tome 1,,,,2015,Marabout,395,9782501104920,"Vous vous interrogez sur des phénomènes simples sans retrouver dans quelle case de votre cerveau vous avez rangé ce que vous avez appris en 5ème. Vous êtes curieux mais pas franchement scientifique, ce Iivre est pour vous.

Qu'est-ce que l'électricité statique ? Pourquoi un aimant
aimante-t-il ? Savez-vous ce qu'est la quinte essence ? Pourquoi éteint-on les lumières dans un avion un quart d'heure avant d'atterrir de nuit ? Mendeleiev est-il le premier vrai punk de Ihistoire de la Russie ? Qu'a-t-elle donc de si « générale» la relativité générale ? Le temps est-il une illusion ? La lumière est-elle d'ondes ou de
particules?... Prenez le temps d'e-penser.",
"Bergin, Mark",Dessiner l'ombre et la lumière: Une méthode simple pour apprendre à dessiner,,Dessin,,22/10/2020,EYROLLES,32,9782416000447,,/MyLibrary/Images/Books/60.png
"Black, Holly; Cai, Rovina",How the King of Elfhame Learned to Hate Stories,"The Folk of the Air (tome 3,5)",Fantasy,,24/11/2020,Hot Key Books,192,9781471409981,"A prince of Faerie, nourished on cat milk and contempt, born into a family over-burdened with heirs... Perhaps it's no surprise
that he turned out the way he did...
Some might think of him as a strong draught, burning the back of one's throat, but invigorating
all the same.
You might beg to differ.
So long as youre begging, he doesn't mind a bit.",/MyLibrary/Images/Books/33.png
"Black, Holly",The Cruel Prince,,Young Adult Fiction,Prêté à : Adrien,02/01/2018,Hachette UK,355,9780316310284,"From #1 New York Times bestselling author Holly Black, comes the first book in a stunning new series about a mortal girl who finds herself caught in a web of royal faerie intrigue. Of course I want to be like them. They're beautiful as blades forged in some divine fire. They will live forever. And Cardan is even more beautiful than the rest. I hate him more than all the others. I hate him so much that sometimes when I look at him, I can hardly breathe. Jude was seven years old when her parents were murdered and she and her two sisters were stolen away to live in the treacherous High Court of Faerie. Ten years later, Jude wants nothing more than to belong there, despite her mortality. But many of the fey despise humans. Especially Prince Cardan, the youngest and wickedest son of the High King. To win a place at the Court, she must defy him--and face the consequences. In doing so, she becomes embroiled in palace intrigues and deceptions, discovering her own capacity for bloodshed. But as civil war threatens to drown the Courts of Faerie in violence, Jude will need to risk her life in a dangerous alliance to save her sisters, and Faerie itself.",/MyLibrary/Images/Books/90.png
"Black, Holly",The Prisoner's Throne: A Novel of Elfhame,The Folk of the Air (tome 5),Fantasy,,05/03/2024,"Little, Brown Books for Young Readers",368,9780316575881,"Prince Oak is paying for his betrayal. Imprisoned in the icy north and bound to the will of a monstrous new queen, he must rely on charm and calculation
to survive. When High King Cardan and High Queen Jude go to extremes to retrieve their stolen heir, Oak must decide whether to attempt to regain the trust of the girl he's always loved or remain loyal to Elfhame and end Wren's reign - even if that means ending her, too.

With a new war looming on the horizon and treachery lurking in every corner, neither Oak's guile nor his wit will be enough to keep everyone he loves alive. It's just a question of whom he will doom.

From the #1 New York Times bestselling author Holly Black comes the stunning blood-soaked conclusion to the Stolen Heir duology.",/MyLibrary/Images/Books/35.png
